name,female_sum,male_sum,both_sums,per_diff
emeri,2378,127,2505,179.72055888223554
kashi,57,21,78,92.3076923076923
lanell,2124,354,2478,142.85714285714286
england,260,60,320,125.0
lile,84,31,115,92.17391304347827
miracle,20836,491,21327,190.7910160828996
halle,16153,6,16159,199.85147595767066
eryn,7369,165,7534,191.239713299708
dequan,5,3839,3844,199.47970863683665
alon,24,1169,1193,191.95305951383068
caron,3179,1028,4207,102.25814119324934
edwidge,6,5,11,18.181818181818183
kepler,6,416,422,194.3127962085308
ilian,45,263,308,141.55844155844156
gabriyel,13,11,24,16.666666666666664
boone,5,6120,6125,199.6734693877551
coty,778,5516,6294,150.5560851604703
cole,546,152069,152615,198.5689480064214
delta,4289,108,4397,190.1751193995906
jaleesa,3261,6,3267,199.26538108356291
ivie,2302,82,2384,186.24161073825502
carrol,4252,6067,10319,35.17782730884776
ju,24,12,36,66.66666666666666
lael,2261,1010,3271,76.49036991745643
myran,5,87,92,178.26086956521738
eaden,51,128,179,86.03351955307262
kamani,1119,708,1827,44.991789819376024
amaru,29,926,955,187.85340314136124
enrique,260,60706,60966,198.29413115507003
karel,1208,601,1809,67.10889994472085
jaimy,381,29,410,171.70731707317074
claudy,14,315,329,182.9787234042553
emrey,261,34,295,153.89830508474574
konner,158,5584,5742,188.99338209683037
mary,4139160,15172,4154332,198.53916345636313
alto,31,561,592,179.05405405405406
corri,703,27,730,185.2054794520548
bobbie,88536,18416,106952,131.12424265090883
neo,6,2906,2912,199.17582417582418
mell,202,342,544,51.470588235294116
diandre,15,572,587,189.778534923339
sariel,5,119,124,183.8709677419355
sher,124,168,292,30.136986301369863
verlan,5,319,324,193.82716049382717
sakima,5,10,15,66.66666666666666
aadi,16,1126,1142,194.39579684763572
torey,1421,2965,4386,70.40583675330598
farris,547,2980,3527,137.96427558831869
kinsley,47311,215,47526,198.19046416698228
myrl,1831,1261,3092,36.869340232858995
emris,19,36,55,61.81818181818181
espie,7,17,24,83.33333333333334
vivien,7293,26,7319,198.5790408525755
soledad,4168,5,4173,199.52072849269112
lew,15,2188,2203,197.27644121652293
wing,22,166,188,153.19148936170214
mavi,185,71,256,89.0625
tyquan,10,3651,3661,198.90740234908495
corrin,1975,152,2127,171.41513869299482
leslee,4905,96,5001,192.32153569286143
jansen,214,2090,2304,162.84722222222223
kristi,76472,138,76610,199.27946743245008
fontaine,137,200,337,37.388724035608305
arti,256,9,265,186.41509433962264
eddi,6,119,125,180.8
light,67,154,221,78.73303167420815
emerys,5,8,13,46.15384615384615
tillian,27,50,77,59.74025974025974
dester,16,12,28,28.57142857142857
courtland,245,3824,4069,175.91545834357336
nara,980,17,997,193.17953861584755
charlton,5,3515,3520,199.4318181818182
ayris,164,5,169,188.1656804733728
verner,171,1963,2134,167.94751640112463
