name,count
alyna,2802
devora,2800
rutha,2799
bernetta,2797
jaclynn,2795
yuna,2792
lise,2790
julee,2788
jenise,2785
kristiana,2785
tamya,2783
allisson,2780
antonina,2778
karisa,2773
xitlali,2773
sahana,2768
karleen,2766
sindy,2763
anja,2761
rozella,2761
milah,2757
brissa,2757
annaleigh,2756
maizie,2754
denita,2750
makaela,2749
kaileigh,2749
nidia,2747
tyana,2741
aleyna,2740
vayda,2739
magan,2739
harmonie,2738
taina,2737
jaquelyn,2736
brinlee,2736
maycee,2735
amyra,2734
mandie,2731
regena,2730
laquisha,2728
kandis,2727
yaretzy,2726
angelyn,2723
melynda,2723
keana,2722
alishia,2719
anette,2716
kaytlyn,2716
dacia,2712
aarna,2711
ela,2711
melodee,2709
lorretta,2708
keesha,2708
devona,2705
jaela,2704
madelene,2704
emelyn,2704
latoria,2702
annabeth,2702
aislynn,2695
mykayla,2689
aleyah,2686
shaneka,2686
reya,2684
tova,2683
taleah,2681
shantelle,2680
maelynn,2679
marna,2678
aleen,2676
emberlynn,2674
ziva,2669
adara,2668
kinzley,2668
ruthanne,2667
christeen,2667
nayely,2665
brynne,2664
anyla,2663
safiya,2662
kalena,2656
jaeda,2653
amoura,2653
rilla,2652
rebeka,2647
fae,2643
lakia,2639
ebonie,2638
launa,2638
sharita,2637
briseida,2634
merrie,2632
natashia,2631
sharyl,2631
stefania,2628
cheryll,2628
yazmine,2627
regenia,2626
nadya,2625
reatha,2624
sharleen,2623
daysha,2623
kiesha,2621
olyvia,2620
lavera,2618
asma,2618
kadie,2617
qiana,2617
claira,2616
addelyn,2615
yusra,2613
kinlee,2609
alonna,2609
coralee,2607
penni,2605
jocelin,2604
kanisha,2603
dawne,2603
maryanna,2600
mariya,2599
lera,2599
viktoria,2599
elvina,2598
micayla,2597
doretta,2597
julietta,2597
jaila,2597
mabelle,2596
karely,2595
jesslyn,2595
yana,2595
crissy,2592
yuridia,2591
korina,2590
amerie,2588
emelie,2587
earlean,2585
gracey,2585
malaika,2584
tionna,2584
tanja,2580
lillia,2578
kaisley,2575
kirra,2574
gaylene,2570
ameerah,2570
genoveva,2570
elowyn,2567
anayeli,2565
denae,2564
skylee,2564
anjanette,2563
ciana,2560
kaliah,2555
allysa,2554
tuesday,2554
delicia,2553
miesha,2552
lacee,2552
zipporah,2549
glinda,2547
malky,2545
rosana,2543
nickole,2542
rosaura,2542
raizy,2542
abriana,2542
liah,2542
steffanie,2539
karime,2538
shawnda,2538
cathi,2536
siera,2536
rosaria,2535
margaretta,2535
kerstin,2535
naoma,2534
wanita,2533
gissel,2533
candelaria,2530
alita,2527
laurine,2526
kaily,2525
mammie,2523
pauletta,2522
celestina,2522
lizet,2522
emmaleigh,2522
bianka,2520
malea,2519
alvera,2516
shanel,2515
alethia,2512
becki,2510
larhonda,2509
zinnia,2508
tammara,2507
baileigh,2506
libbie,2506
daisey,2500
mariajose,2498
kateri,2498
jiselle,2497
markita,2495
meri,2493
amada,2490
maliya,2487
ellena,2486
maryalice,2485
tea,2483
betsey,2481
kaniya,2479
tavia,2477
kenda,2475
coreen,2475
marigold,2474
sarena,2471
izzabella,2469
bracha,2469
kittie,2467
waneta,2466
drema,2464
merna,2461
nakisha,2459
ninfa,2459
lucila,2458
arissa,2458
arionna,2453
jazzmine,2452
leslye,2446
passion,2445
hafsa,2445
raelene,2445
amarah,2444
callista,2443
dimple,2442
lachelle,2442
alverta,2441
fatoumata,2441
cleopatra,2441
lillyann,2440
krisha,2439
kyrah,2439
ranae,2439
indira,2435
arika,2434
coretta,2433
ashia,2431
laisha,2431
asiya,2431
dorthea,2430
kaycie,2429
janelly,2427
tonda,2426
jeanene,2425
glynda,2425
kelci,2423
lovina,2422
danisha,2421
synthia,2421
emmarie,2419
carlota,2419
jannah,2418
alexsandra,2416
shona,2414
lillyan,2412
kierstyn,2409
phyliss,2406
thora,2404
kyndra,2404
lailani,2400
daja,2399
lezlie,2399
melaine,2398
tilly,2395
ethyl,2395
kaydee,2395
cassaundra,2393
makyla,2393
fairy,2392
tiffiny,2388
arletta,2386
mikaila,2384
kalista,2384
brayleigh,2382
jacqualine,2382
lisha,2382
phylicia,2381
lawanna,2381
citlalli,2380
merlene,2379
nubia,2379
coletta,2378
adalia,2378
cicely,2378
denna,2377
adilyn,2377
arica,2376
tarsha,2375
silvana,2372
madlyn,2370
margarete,2369
teanna,2365
ilse,2364
kezia,2364
zaynab,2364
elisheva,2361
katey,2359
tashia,2359
shakia,2358
janya,2358
cherilyn,2358
cassi,2356
shena,2356
elinore,2355
frederica,2353
yocheved,2353
leylani,2351
glendora,2350
kiyah,2348
marah,2347
kellye,2347
laticia,2344
vashti,2343
adalie,2342
inara,2341
malisa,2340
jacklynn,2337
thresa,2334
latavia,2333
dominica,2332
erlene,2332
ozella,2331
seanna,2331
hildegarde,2326
siri,2324
daijah,2321
latrina,2319
georgeann,2318
jannet,2318
merilyn,2317
mahalia,2316
rebbecca,2315
marwa,2313
jeanmarie,2313
kaniyah,2311
lynelle,2310
hedy,2309
kirstyn,2309
fredia,2307
maelyn,2306
leonore,2306
shaylynn,2305
marbella,2304
brittnie,2301
maryrose,2300
kimberely,2300
anai,2298
reena,2298
irina,2297
raeleigh,2295
tarra,2295
carys,2295
adora,2295
catelyn,2294
candance,2294
cambrie,2293
ellamae,2292
marika,2292
beverlee,2289
lakendra,2289
laronda,2289
saray,2288
jamaya,2287
shaquana,2286
sheilah,2285
sanjuana,2283
tiffaney,2281
edyth,2278
raechel,2276
michaella,2275
gaia,2274
jamesha,2274
yehudis,2273
beaulah,2273
zyla,2273
cambree,2272
jeanelle,2272
lashunda,2270
cayleigh,2270
monae,2270
jazzmin,2269
chasidy,2269
oneida,2268
tamyra,2267
gisel,2266
myia,2266
gwenda,2264
nyra,2264
addalynn,2263
chynna,2263
marilu,2263
tanvi,2262
riana,2261
hawa,2261
zana,2261
